Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Faroe Islands,FRO,54.0561614716809
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Fiji,FJI,55.4866241995596
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Finland,FIN,39.9943942562687
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,France,FRA,33.8842788890102
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,French Polynesia,PYF,44.0354941009849
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gabon,GAB,22.7375212062962
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Gambia, The",GMB,42.5242842292877
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Georgia,GEO,60.1521994975096
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Germany,DEU,36.6202679583694
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ghana,GHA,34.5036220155637
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Gibraltar,GIB,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Greece,GRC,40.6071874522328
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Greenland,GRL,45.3221117220578
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Grenada,GRD,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guam,GUM,53.7101305569327
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guatemala,GTM,28.8423555448314
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guinea,GIN,48.7770160108349
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guinea-Bissau,GNB,29.3620739934989
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Guyana,GUY,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Haiti,HTI,34.3577537109868
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Honduras,HND,62.0963456541272
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Hong Kong SAR, China",HKG,188.553266542735
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Hungary,HUN,79.5051964069182
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Iceland,ISL,42.5901445762183
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,India,IND,23.6891407335327
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Indonesia,IDN,22.0715624579547
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Iran, Islamic Rep.",IRN,27.4487096151447
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Iraq,IRQ,24.9991497435766
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ireland,IRL,93.4580448835333
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Isle of Man,IMN,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Israel,ISR,29.1403242228951
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Italy,ITA,28.4614762392164
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Jamaica,JAM,51.414057756045
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Japan,JPN,18.2949862035848
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Jordan,JOR,52.8367993528309
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kazakhstan,KAZ,25.9027380865315
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kenya,KEN,21.8727778433835
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kiribati,KIR,74.315739403455
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Korea, Rep.",KOR,37.2755746703469
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kosovo,XKX,57.2616199514324
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kuwait,KWT,45.4741679111424
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Kyrgyz Republic,KGZ,67.2738298966465
